TIMECREATED;HISPOTYPE
2022-02-23 07:06:43.253;32
2022-02-23 07:06:43.315;9
2022-02-23 07:06:46.222;9
2022-02-23 07:06:06.093;9
2022-02-23 07:06:51.347;11
2022-02-23 07:07:02.489;9
2022-02-23 07:07:03.098;11
2022-02-23 07:07:08.427;32
2022-02-23 07:07:08.489;9
2022-02-23 07:07:13.396;11
2022-02-23 07:19:10.893;11
2022-02-23 07:19:11.533;9
2022-02-23 07:19:17.815;9
2022-02-23 07:19:20.441;11
2022-02-23 07:19:22.785;11
2022-02-23 07:19:27.019;9
2022-02-23 07:19:30.879;11
2022-02-23 07:16:49.287;11
2022-02-23 07:16:57.303;11
2022-02-23 07:17:20.555;9
2022-02-23 07:17:24.727;9
2022-02-23 07:17:25.180;11
2022-02-23 07:17:25.993;9
2022-02-23 07:17:29.399;11
2022-02-23 07:17:32.400;9
2022-02-23 07:17:38.056;11
2022-02-23 07:17:38.369;9
2022-02-23 07:09:00.280;11
2022-02-23 07:09:02.342;9
2022-02-23 07:09:05.530;11
2022-02-23 07:09:07.343;9
2022-02-23 07:09:08.093;9
2022-02-23 07:08:58.404;9
2022-02-23 07:09:09.280;11
2022-02-23 07:15:00.043;11
2022-02-23 07:15:01.294;9
2022-02-23 07:15:08.904;11
2022-02-23 07:15:16.170;11
2022-02-23 07:15:19.201;11
2022-02-23 07:15:21.358;9
2022-02-23 07:15:31.546;9
2022-02-23 07:15:40.734;9
2022-02-23 07:15:47.610;9
2022-02-23 07:14:56.012;9
2022-02-23 07:07:24.209;11
2022-02-23 07:07:27.819;11
2022-02-23 07:07:28.522;9
2022-02-23 07:07:32.772;9
2022-02-23 07:07:32.929;11
2022-02-23 07:07:34.960;32
2022-02-23 07:07:35.007;9
2022-02-23 07:07:45.258;11
2022-02-23 07:07:47.227;9
2022-02-23 07:13:02.846;9
2022-02-23 07:13:07.894;11
2022-02-23 07:13:07.956;9
2022-02-23 07:13:08.034;11
2022-02-23 07:13:10.066;9
2022-02-23 07:13:16.785;11
2022-02-23 07:13:27.458;11
2022-02-23 07:13:34.536;11
2022-02-23 07:13:36.458;11
2022-02-23 07:09:12.156;9
2022-02-23 07:09:27.782;9
2022-02-23 07:09:28.532;11
2022-02-23 07:09:31.548;11
2022-02-23 07:09:37.079;9
2022-02-23 07:09:39.002;11
2022-02-23 07:09:39.611;9
2022-02-23 07:09:41.799;11
2022-02-23 07:12:01.638;9
2022-02-23 07:12:06.154;9
2022-02-23 07:12:08.498;11
2022-02-23 07:12:15.811;11
2022-02-23 07:12:16.499;11
2022-02-23 07:17:38.885;9
2022-02-23 07:17:42.244;11
2022-02-23 07:17:52.839;9
2022-02-23 07:17:55.324;9
2022-02-23 07:18:02.512;9
2022-02-23 07:18:11.043;9
2022-02-23 07:18:16.435;11
2022-02-23 07:18:45.609;11
2022-02-23 07:18:50.187;11
2022-02-23 07:19:05.673;11
2022-02-23 07:10:40.507;11
2022-02-23 07:10:46.710;11
2022-02-23 07:10:47.804;9
2022-02-23 07:10:55.680;9
2022-02-23 07:10:57.664;9
2022-02-23 07:11:18.494;9
2022-02-23 07:11:20.588;11
2022-02-23 07:10:37.788;11
2022-02-23 07:11:21.822;11
2022-02-23 07:11:23.948;9
2022-02-23 07:11:29.807;11
