DELIVERYTIME,NOOFLINES,STATUS,TOURNO,Country_EU
2022-02-21 00:00:00.000,76,30,GB05,
2022-02-21 00:00:00.000,32,30,GB05,
2022-02-21 00:00:00.000,2,30,ES05,
2015-04-10 00:00:00.000,8,25,HVD05,
2022-02-21 00:00:00.000,74,30,IT05,
2022-02-21 00:00:00.000,21,30,ES05,
2022-02-21 00:00:00.000,15,30,ES05,
2022-02-21 00:00:00.000,33,30,ES05,
2022-02-21 00:00:00.000,0,30,ES05,
2022-02-21 00:00:00.000,85,30,ES05,
2022-02-21 00:00:00.000,53,30,AT05,
2022-02-21 00:00:00.000,14,30,SE01,
2022-02-23 00:00:00.000,51,30,PL05,
2022-02-21 00:00:00.000,50,30,NO05,
2022-02-21 00:00:00.000,52,30,SE01,
2015-04-22 00:00:00.000,48,25,SK01,
2021-04-01 00:00:00.000,3,10, ,
2022-02-21 00:00:00.000,2,30,NL05,
2022-02-21 00:00:00.000,38,30,ES05,
2022-02-21 00:00:00.000,8,30,CH05,
2022-02-21 00:00:00.000,115,30,ES05,
2022-02-21 00:00:00.000,25,30,PT05,
2022-02-21 00:00:00.000,7,30,FR05,
2015-04-08 00:00:00.000,111,25,ES05,
2022-02-21 00:00:00.000,2,30,PT05,
2021-06-14 00:00:00.000,4,10, ,
2022-02-21 00:00:00.000,61,30,PT05,
2022-02-21 00:00:00.000,43,30,ES05,
2022-02-21 00:00:00.000,14,30,FR05,
2022-02-21 00:00:00.000,30,30,BE05,
2022-02-21 00:00:00.000,1,30,PT05,
2022-02-21 00:00:00.000,1,30,CH05,
2022-02-21 00:00:00.000,2,30,ES05,
2022-02-21 00:00:00.000,16,30,ES05,
2022-02-21 00:00:00.000,0,30,BE05,
2022-02-21 00:00:00.000,1,30,PT05,
2022-02-21 00:00:00.000,1,30,PT05,
2022-02-21 00:00:00.000,1,30,ES05,
2015-04-10 00:00:00.000,3,25,HVD05,
2022-02-21 00:00:00.000,2,30,PT05,
2022-02-21 00:00:00.000,18,30,ES05,
2022-02-21 00:00:00.000,2,30,IT05,
2022-02-21 00:00:00.000,14,30,IT05,
2022-02-21 00:00:00.000,9,30,ES05,
2022-02-21 00:00:00.000,2,30,ES05,
2022-02-21 00:00:00.000,4,30,IT05,
2015-04-24 00:00:00.000,5,25,RU05,
2022-02-21 00:00:00.000,1,30,PT05,
2022-02-21 00:00:00.000,2,30,PT05,
2022-02-21 00:00:00.000,0,30,PT05,
2022-02-21 00:00:00.000,42,30,IT05,
2022-02-21 00:00:00.000,235,30,IT05,
2022-02-21 00:00:00.000,48,30,IT05,
2022-02-21 00:00:00.000,1,30,IT05,
2022-02-21 00:00:00.000,35,30,AT05,
2022-02-21 00:00:00.000,12,30,PT05,
2022-02-21 00:00:00.000,14,30,GB05,
2022-02-21 00:00:00.000,9,30,PT05,
2022-02-21 00:00:00.000,36,30,NL05,
